Ethan's Scoring,multiplier,tier 1,tier 1 points,tier 2,tier 2 points,tier 3,tier 3 points,tier 4,tier 4 points,min,percentile
contiguousDays,1,70,1,100,2,200,3,400,3,,
qualifyingDaysWithData,1,0.75,0,0.85,0.5,0.95,1,0.95,1,,
uniqueEGVPerDay,1,0.5,0,0.7,0.2,0.9,0.4,0.9,0.4,0.5,0.1
bolusRecordsPerDay,1,1,0,2,0.2,3,0.4,3,0.4,1,0.1
exerciseRecordsPerDay,0,1,0.1,2,0.2,3,0.4,3,0.4,-1,0.1
